[400005000] ID:49 | Stage:1 | Loc:0 | Lic:0 | Data:0594005500dc000002f3022c097403e20497073201c7000000000000000000f7
[400015000] ID:50 | Stage:1 | Loc:0 | Lic:0 | Data:05c9005900d3000002d30281099403f50476070c019f000000000000000000d8
[400025000] ID:51 | Stage:1 | Loc:0 | Lic:0 | Data:04e2005a00c30000036201c6095f042b053207040203000000000000000000cb
[400035000] ID:52 | Stage:1 | Loc:0 | Lic:0 | Data:044e003d00d3000003be014d0939046c05a106c0022c000000000000000000fa
[400045000] ID:53 | Stage:1 | Loc:0 | Lic:0 | Data:04a9003f007a000003530191095103f5056507490242000000000000000000ee
[400055000] ID:54 | Stage:1 | Loc:0 | Lic:0 | Data:04b40070007500000339015a093503b0054b078d025e000000000000000000c1
[400065000] ID:55 | Stage:1 | Loc:0 | Lic:0 | Data:044f008800fd000003d200e00905041d0587073a0259000000000000000000c2
[400075000] ID:56 | Stage:1 | Loc:0 | Lic:0 | Data:0488006a0086000003510123091f03c00562076f0268000000000000000000d8
[400085000] ID:57 | Stage:1 | Loc:0 | Lic:0 | Data:045c00330098000003920132092f04070599074702620000000000000000011b
[400095000] ID:58 | Stage:1 | Loc:0 | Lic:0 | Data:0410002d00a7000003b000cb0906040c05c2072b027f0000000000000000013f
[400105000] ID:59 | Stage:1 | Loc:0 | Lic:0 | Data:03f8004a012800000425008c08ea044d05ca071f026f0000000000000000013e
[400115000] ID:60 | Stage:1 | Loc:0 | Lic:0 | Data:0478005200d0000003a8011a091f03fd05780767025b00000000000000000115
[400125000] ID:61 | Stage:1 | Loc:0 | Lic:0 | Data:0466004e00a90000038e00ff091503d805820782027600000000000000000113
[400135000] ID:62 | Stage:1 | Loc:0 | Lic:0 | Data:03dc004100f300000425009908f8044405f20741028b00000000000000000123
[400145000] ID:63 | Stage:1 | Loc:0 | Lic:0 | Data:03dc005600bb000003e6008708ee040d05e7074f029f000000000000000000fd
[400155000] ID:64 | Stage:1 | Loc:0 | Lic:0 | Data:0377006f00ba000003fc000e08bf0418061e070f02bf000000000000000000f0
[400165000] ID:65 | Stage:1 | Loc:0 | Lic:0 | Data:031d007d0102000004a0000608cb049f068206de02ba000000000000000000c3
[400175000] ID:66 | Stage:1 | Loc:0 | Lic:0 | Data:03310061002b000003de002008d803fb0676073702fb000000000000000000cf
[400185000] ID:67 | Stage:1 | Loc:0 | Lic:0 | Data:02ff006700ed000004bd000808d404a806ab06fb02cf000000000000000000d2
[400195000] ID:68 | Stage:1 | Loc:0 | Lic:0 | Data:03b7007d003b000003a2007308ed03ba060c079102dd000000000000000000b2
[400205000] ID:69 | Stage:1 | Loc:0 | Lic:0 | Data:03b7008b00b50000040f007a08ef041f060f075b02b0000000000000000000a7
[400215000] ID:70 | Stage:1 | Loc:0 | Lic:0 | Data:03aa009a00dd00000422004d08d904290609074302ab000000000000000000ab
[400225000] ID:71 | Stage:1 | Loc:0 | Lic:0 | Data:037f009100cd00000453005a08e9044f0642074702ba0000000000000000009f
[400235000] ID:72 | Stage:1 | Loc:0 | Lic:0 | Data:0319007200b70000047e002608de047e0697070b02d3000000000000000000b4
[400245000] ID:73 | Stage:1 | Loc:0 | Lic:0 | Data:0282006e00de009004b50000089604af06e4068902f0000000000000000000df
[400255000] ID:74 | Stage:1 | Loc:0 | Lic:0 | Data:00e700f201be021d06110000080605d807eb0520030d00000000000000000044
[400265000] ID:75 | Stage:1 | Loc:0 | Lic:0 | Data:000000a9012002d505da000007cc062008a903de034700390000000000000080
[400275000] ID:76 | Stage:1 | Loc:0 | Lic:0 | Data:00d50096011f01d405770000082705cd07fb048f030000000000000000000093
[400285000] ID:77 | Stage:1 | Loc:0 | Lic:0 | Data:0248006d001100af04000000088b0448070006500325000000000000000000b9
[400295000] ID:78 | Stage:1 | Loc:0 | Lic:0 | Data:01aa004b011a010a054a00000875056f0786058b02eb000000000000000000fa
[400305000] ID:79 | Stage:1 | Loc:0 | Lic:0 | Data:0014009201f602b80674000007d0067b087204070307000000000000000000ce
[400315000] ID:80 | Stage:1 | Loc:0 | Lic:0 | Data:000000910127034305a900000797061608a3036e0348006f00000000000000b8
[400325000] ID:81 | Stage:1 | Loc:0 | Lic:0 | Data:0107007f00fe01c4051c00000824059207c3048f02f8000000000000000000b4
[400335000] ID:82 | Stage:1 | Loc:0 | Lic:0 | Data:033400830049001d0391000008ad03fb063a069b02d2000000000000000000bd
[400345000] ID:83 | Stage:1 | Loc:0 | Lic:0 | Data:03a6007e00bc000003f4008f08f40466060c06aa027c000000000000000000ad
[400355000] ID:84 | Stage:1 | Loc:0 | Lic:0 | Data:0369007a00b500000417008708f804a20643065d02790000000000000000009e
[400365000] ID:85 | Stage:1 | Loc:0 | Lic:0 | Data:036700a000d600000423005d08e2049806350666027c00000000000000000075
[400375000] ID:86 | Stage:1 | Loc:0 | Lic:0 | Data:038c00bd00f600000418003908cb0465060806a702850000000000000000006b
[400385000] ID:87 | Stage:1 | Loc:0 | Lic:0 | Data:034c00cd00f10039040100000898044c06150675029e0000000000000000006b
[400395000] ID:88 | Stage:1 | Loc:0 | Lic:0 | Data:037e00a500c4000003e0004408d00464060c0662027e00000000000000000080
[400405000] ID:89 | Stage:1 | Loc:0 | Lic:0 | Data:035a0032006b0000037c003608cb044d061b060302850000000000000000012a
[400415000] ID:90 | Stage:1 | Loc:0 | Lic:0 | Data:01b7000f00f0010e04150000084d05bc06fe0323024100000000000000000160
[400425000] ID:91 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000399033400000752069f089b0000028d0165000000420105013c
[400435000] ID:92 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000062d035000000651081e0a320000029c047000000067048c013a
[400445000] ID:93 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000071d0201000005e807670a6400000302053100000166054f011e
