[399895000] ID:49 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000045302d40265fefa015eff14
[399905000] ID:50 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000045002df0299ff03014cff1b
[399915000] ID:51 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000043a028f01f5ff090143ff1d
[399925000] ID:52 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000041f0250019ffef70159ff0f
[399935000] ID:53 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000437029201b0fefc0154ff0f
[399945000] ID:54 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000044002a6019cff110142ff23
[399955000] ID:55 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000043c02630177ff170144ff28
[399965000] ID:56 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000043502920184ff0a014eff1e
[399975000] ID:57 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000043302740179feea016cff08
[399985000] ID:58 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000042202580145fede0180ff02
[399995000] ID:59 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000436023a0144fee20182ff0b
[400005000] ID:60 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000445027c0186feea016cff18
[400015000] ID:61 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000004400282016bfef1016cff10
[400025000] ID:62 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000437023a0126fef20172ff03
[400035000] ID:63 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000042a02490117ff040160ff0c
[400045000] ID:64 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000409022300d8ff05015bff1d
[400055000] ID:65 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000041201e700baff0d013fff30
[400065000] ID:66 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000003f902210093ff020144ff2a
[400075000] ID:67 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000041801e0009fff070144ff26
[400085000] ID:68 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000041d025b00dbff120139ff31
[400095000] ID:69 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000042d023c00fcff1a0133ff34
[400105000] ID:70 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000429023100f9ff1a0137ff39
[400115000] ID:71 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000042c021f00dfff17012dff3e
[400125000] ID:72 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000041201f500a7ff100135ff2f
[400135000] ID:73 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000003e001b10057ff05014dff27
[400145000] ID:74 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000038600d2ffa3ff4300ffff6e
[400155000] ID:75 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000002f10062ff13ff240117ff58
[400165000] ID:76 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000033f00d1ffaeff1a0121ff4d
[400175000] ID:77 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000039901bd001eff0d0138ff32
[400185000] ID:78 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000039d0136000dfef90155ff1b
[400195000] ID:79 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000333005cff5cff170142ff35
[400205000] ID:80 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000002c1004afefeff220138ff37
[400215000] ID:81 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000033500edffc8ff1b0134ff33
[400225000] ID:82 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000003c6021400b4ff110140ff33
[400235000] ID:83 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000003fe021d0121ff120134ff35
[400245000] ID:84 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000003e801fb010eff110129ff3c
[400255000] ID:85 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000003ec01fa0109ff2a0117ff46
[400265000] ID:86 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000003ff0210010dff370117ff49
[400275000] ID:87 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000003df01fd00e1ff40011bff48
[400285000] ID:88 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000003e0020b0110ff2b0120ff42
[400295000] ID:89 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000003ac02040101fee50174ff0b
[400305000] ID:90 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000002d50103009ffed2018bfeff
[400315000] ID:91 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000000eeffabff4ffee10173ff06
[400325000] ID:92 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000ff4ffe2bfe30fee8016eff0b
[400335000] ID:93 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe9dfe17fda1fef40164ff17
[400345000] ID:94 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe79fe3dfd77ff07014dff26
[400355000] ID:95 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe71fe49fd6eff020153ff21
[400365000] ID:96 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe6ffe3afd6efefd015aff1d
[400375000] ID:97 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe70fe3bfd6efef70162ff19
[400385000] ID:98 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe71fe3bfd6cfefa015eff17
[400395000] ID:99 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe64fe3dfd75fefb0163ff15
[400405000] ID:100 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe5efe39fd78fef00165ff0f
[400415000] ID:101 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe58fe36fd76feec016bff0e
[400425000] ID:102 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe52fe35fd74fee0017aff07
