[397175000] ID:46 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fcf9fe22fcc1fcd9fcf9
[397185000] ID:47 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fce1fdeafcc9fce1fd01
[397195000] ID:48 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fcd1fdd2fcc1fcd9fcf1
[397205000] ID:49 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fcb1fd49fcc1fce1fce9
[397215000] ID:50 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc40fc99fd41fcd1fcf9fcf9
[397225000] ID:51 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc89fd31fe5afcd1fcf9fcf1
[397235000] ID:52 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fd19fe6afcc9fcf1fce9
[397245000] ID:53 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fcf1fe12fce9fd09fd01
[397255000] ID:54 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fd01fe42fd19fd29fd31
[397265000] ID:55 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc78fd19fe83fd21fd29fd39
[397275000] ID:56 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58fd01fe4afd09fd21fd29
[397285000] ID:57 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc78fd29fe72fce9fd11fd19
[397295000] ID:58 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc70fd49feabfcf1fd11fd29
[397305000] ID:59 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fd49fe8bfcf9fd11fd39
[397315000] ID:60 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58fd11fe22fcf9fd19fd39
[397325000] ID:61 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc48fd39fe72fcf9fd09fd19
[397335000] ID:62 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc70fd51fec3fd01fd09fd09
[397345000] ID:63 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc70fd49feabfd19fd19fd19
[397355000] ID:64 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc89fdaaff0bfd11fd19fd31
[397365000] ID:65 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91fda2ff2bfd11fd31fd41
[397375000] ID:66 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91fda2ff43fcf9fd21fd29
