[2425065000] ID:46 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fcf9fe22fcc1fcd9fcf9
[2425075000] ID:47 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fce1fdeafcc9fce1fd01
[2425085000] ID:48 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fcd1fdd2fcc1fcd9fcf1
[2425095000] ID:49 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fcb1fd49fcc1fce1fce9
[2425105000] ID:50 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc40fc99fd41fcd1fcf9fcf9
[2425115000] ID:51 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc89fd31fe5afcd1fcf9fcf1
[2425125000] ID:52 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fd19fe6afcc9fcf1fce9
[2425135000] ID:53 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fcf1fe12fce9fd09fd01
[2425145000] ID:54 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fd01fe42fd19fd29fd31
[2425155000] ID:55 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc78fd19fe83fd21fd29fd39
[2425165000] ID:56 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58fd01fe4afd09fd21fd29
[2425175000] ID:57 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc78fd29fe72fce9fd11fd19
[2425185000] ID:58 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc70fd49feabfcf1fd11fd29
[2425195000] ID:59 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fd49fe8bfcf9fd11fd39
[2425205000] ID:60 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58fd11fe22fcf9fd19fd39
[2425215000] ID:61 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc48fd39fe72fcf9fd09fd19
[2425225000] ID:62 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc70fd51fec3fd01fd09fd09
[2425235000] ID:63 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc70fd49feabfd19fd19fd19
[2425245000] ID:64 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc89fdaaff0bfd11fd19fd31
[2425255000] ID:65 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91fda2ff2bfd11fd31fd41
[2425265000] ID:66 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91fda2ff43fcf9fd21fd29
[2425275000] ID:67 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc89fdaaff43fd01fd21fd21
[2425285000] ID:68 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fd49fedbfd09fd21fd29
[2425295000] ID:69 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fd69fee3fd11fd21fd29
[2425305000] ID:70 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68fd71feebfd09fd19fd31
[2425315000] ID:71 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc78fd8aff13fd09fd29fd39
