[3239615000] ID:51 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000005b00000000000008e6000000610000044400000000
[3239625000] ID:52 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000017800000000000007dc00000000000000d300290000
[3239635000] ID:53 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000017800000000000007dc00000000000000d300290000
[3239645000] ID:54 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000018b00000000000007ce00000000000001a000480000
[3239655000] ID:55 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000018b00000000000007ce00000000000001a000480000
[3239665000] ID:56 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000001a4000000000000080f000000000000019d00260000
[3239675000] ID:57 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000001a4000000000000080f000000000000019d00260000
[3239685000] ID:58 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000010d000000000000064b00000000000002cf00120000
[3239695000] ID:59 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000010d000000000000064b00000000000002cf00120000
[3239705000] ID:60 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000003a0000000820000031c00000000
[3239715000] ID:61 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000003a0000000820000031c00000000
[3239725000] ID:62 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000019000000000000005a5000000000000000001790000
[3239735000] ID:63 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000019000000000000005a5000000000000000001790000
[3239765000] ID:64 | Stg:6 | Loc:0 | Lic:0 | Data:000001800000000001d403dc0000000000000871000000000000000000e70180
[3239775000] ID:65 | Stg:6 | Loc:0 | Lic:0 | Data:000001800000000001d403dc0000000000000871000000000000000000e70180
[3239785000] ID:66 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000006ee000000000000020a00080000
[3239795000] ID:67 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000006ee000000000000020a00080000
[3239805000] ID:68 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000d700000003000005ca000000000000010a00b20000
[3239815000] ID:69 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000d700000003000005ca000000000000010a00b20000
[3239825000] ID:70 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000003b00000022000004f0000000000000018700900000
[3239835000] ID:71 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000003b00000022000004f0000000000000018700900000
[3239845000] ID:72 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000004d0000040900000000000000b9008d0000
[3239855000] ID:73 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000004d0000040900000000000000b9008d0000
[3239865000] ID:74 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000000000000470000043c000000000000000000de0000
[3239875000] ID:75 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000000000000470000043c000000000000000000de0000
[3239885000] ID:76 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000032000005c7000000000000011b008d0000
[3239895000] ID:77 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000032000005c7000000000000011b008d0000
[3239905000] ID:78 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000b5000000000000054c00000000000002a500e40000
[3239915000] ID:79 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000b5000000000000054c00000000000002a500e40000
[3239945000] ID:80 | Stg:6 | Loc:0 | Lic:0 | Data:000001800000000001d403dc0000000000000871000000000000000000e70180
[3239955000] ID:81 | Stg:6 | Loc:0 | Lic:0 | Data:000001800000000001d403dc0000000000000871000000000000000000e70180
[3239965000] ID:82 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000006ee000000000000020a00080000
[3239975000] ID:83 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000006ee000000000000020a00080000
[3239985000] ID:84 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000d700000003000005ca000000000000010a00b20000
[3239995000] ID:85 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000d700000003000005ca000000000000010a00b20000
[3240005000] ID:86 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000003b00000022000004f0000000000000018700900000
[3240015000] ID:87 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000003b00000022000004f0000000000000018700900000
[3240025000] ID:88 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000004d0000040900000000000000b9008d0000
[3240035000] ID:89 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000004d0000040900000000000000b9008d0000
[3240045000] ID:90 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000000000000470000043c000000000000000000de0000
[3240055000] ID:91 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000000000000470000043c000000000000000000de0000
[3240065000] ID:92 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000032000005c7000000000000011b008d0000
[3240075000] ID:93 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000032000005c7000000000000011b008d0000
[3240085000] ID:94 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000b5000000000000054c00000000000002a500e40000
[3240095000] ID:95 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000b5000000000000054c00000000000002a500e40000
[3240125000] ID:96 | Stg:6 | Loc:0 | Lic:0 | Data:0000028c00000000010e045f00000000000007c2000000000000000000cf007a
