[2427905000] ID:48 | Stg:1 | Loc:0 | Lic:0 | Data:0517006f00e50000035101a1094603e504f70762020f000000000000000000e4
[2427915000] ID:49 | Stg:1 | Loc:0 | Lic:0 | Data:0592005200d6000002f50234097803e6049d073201c7000000000000000000f7
[2427925000] ID:50 | Stg:1 | Loc:0 | Lic:0 | Data:05c7005800d1000002d50286099703f9047a070a019f000000000000000000d7
[2427935000] ID:51 | Stg:1 | Loc:0 | Lic:0 | Data:04e0005900bd0000036001ca0961042c053507030204000000000000000000ca
[2427945000] ID:52 | Stg:1 | Loc:0 | Lic:0 | Data:044e003b00cf000003bb0150093b046c05a206be022c000000000000000000fa
[2427955000] ID:53 | Stg:1 | Loc:0 | Lic:0 | Data:04a7003d0078000003550194095303f7056807490243000000000000000000ee
[2427965000] ID:54 | Stg:1 | Loc:0 | Lic:0 | Data:04b3006f006f00000336015d093703b0054e078c025f000000000000000000c0
[2427975000] ID:55 | Stg:1 | Loc:0 | Lic:0 | Data:044d008500f8000003d200e709090421058c07370259000000000000000000c1
[2427985000] ID:56 | Stg:1 | Loc:0 | Lic:0 | Data:0488006700800000034e012a092303c20565076d0268000000000000000000d9
[2427995000] ID:57 | Stg:1 | Loc:0 | Lic:0 | Data:045b002f009200000392013809320408059d074802630000000000000000011c
[2428005000] ID:58 | Stg:1 | Loc:0 | Lic:0 | Data:040e002a009e000003ae00d2090b040e05c7072b02800000000000000000013e
[2428015000] ID:59 | Stg:1 | Loc:0 | Lic:0 | Data:03f70047012000000423009408ef044f05ce071d02700000000000000000013d
[2428025000] ID:60 | Stg:1 | Loc:0 | Lic:0 | Data:0477004f00ca000003a80120092203fe057c0768025c00000000000000000116
[2428035000] ID:61 | Stg:1 | Loc:0 | Lic:0 | Data:0464004a00a1000003900109091b03dd058a0782027600000000000000000113
[2428045000] ID:62 | Stg:1 | Loc:0 | Lic:0 | Data:03d9003b00ea0000042500a308fe044905f9073f028b00000000000000000123
[2428055000] ID:63 | Stg:1 | Loc:0 | Lic:0 | Data:03da005100b3000003e6009208f4041205ed074c029f000000000000000000fc
[2428065000] ID:64 | Stg:1 | Loc:0 | Lic:0 | Data:0377006d00b6000003fa001208c10419061f070e02bf000000000000000000f1
[2428075000] ID:65 | Stg:1 | Loc:0 | Lic:0 | Data:031c007a00fa000004a0000e08d004a1068706e002bb000000000000000000c3
[2428085000] ID:66 | Stg:1 | Loc:0 | Lic:0 | Data:032e005e0024000003de002708dc03fe067c073502fb000000000000000000ce
[2428095000] ID:67 | Stg:1 | Loc:0 | Lic:0 | Data:02fd006400e8000004bf001108d904ad06b006fa02cf000000000000000000d1
[2428105000] ID:68 | Stg:1 | Loc:0 | Lic:0 | Data:03b7007a0034000003a2007c08f203bd0610079202dd000000000000000000b2
[2428115000] ID:69 | Stg:1 | Loc:0 | Lic:0 | Data:03b6008700ad0000040d007f08f2041f0613075b02b1000000000000000000a8
[2428125000] ID:70 | Stg:1 | Loc:0 | Lic:0 | Data:03a8009700d700000422005408dd042d060e074002ab000000000000000000aa
[2428135000] ID:71 | Stg:1 | Loc:0 | Lic:0 | Data:037e008d00c700000453006008ed04500647074902bb000000000000000000a0
[2428145000] ID:72 | Stg:1 | Loc:0 | Lic:0 | Data:0319006e00b00000047c002c08e2047f069a070902d3000000000000000000b5
[2428155000] ID:73 | Stg:1 | Loc:0 | Lic:0 | Data:0281006800d4008504b30000089c04b106ea068802f1000000000000000000df
[2428165000] ID:74 | Stg:1 | Loc:0 | Lic:0 | Data:00e500ee01ba021706110000080905dc07ef051d030d00000000000000000045
