[2046645000] ID:0 | Data:fc57fc56fc50fc5f
[2046655000] ID:1 | Data:fc78fc5ffc58fc57
[2046665000] ID:2 | Data:fc91fc89fc89fc88
[2046675000] ID:3 | Data:fc99fce1fcf1fcb8
[2046685000] ID:4 | Data:fc60fc58fc68fc81
[2046695000] ID:5 | Data:fc80fc70fc5ffc5f
[2046705000] ID:6 | Data:fc80fc81fc6ffc8a
[2046715000] ID:7 | Data:fcc1fca8fc98fc88
[2046725000] ID:8 | Data:fcb1fca8fca9fcb8
[2046735000] ID:9 | Data:fcd8fcd1fcb1fcb1
[2046745000] ID:10 | Data:fce8fcf1fce8fce1
[2046755000] ID:11 | Data:fd00fcf8fcf0fcf9
[2046765000] ID:12 | Data:fcf1fcf8fce8fcf0
[2046775000] ID:13 | Data:fd38fd30fd01fce9
[2046785000] ID:14 | Data:fd39fd28fd19fd29
[2046795000] ID:15 | Data:fd19fd09fd18fd38
[2046805000] ID:16 | Data:fd20fd28fd41fd30
[2046815000] ID:17 | Data:fd39fd30fd28fd28
[2046825000] ID:18 | Data:fda2fde1fd59fd39
[2046835000] ID:19 | Data:fd39fd11fd38fd82
[2046845000] ID:20 | Data:fd28fd30fd31fd39
[2046855000] ID:21 | Data:fd21fd31fd31fd29
[2046865000] ID:22 | Data:fcb1fc98fc98fcf9
[2046875000] ID:23 | Data:fce8fcf0fcd9fcc1
[2046885000] ID:24 | Data:fcc8fcd0fcd8fce0
[2046895000] ID:25 | Data:fcb8fcb8fcc0fcc0
[2046905000] ID:26 | Data:fcc8fcc0fcb0fcb0
[2046915000] ID:27 | Data:fce0fcc8fca8fcc0
[2046925000] ID:28 | Data:fdd1fd18fcf8fce8
[2046935000] ID:29 | Data:0255023501f600b5
[2046945000] ID:30 | Data:027502760275026d
[2046955000] ID:31 | Data:029d0287026d0275
[2046965000] ID:32 | Data:fca0fca0fc99fca0
[2046975000] ID:33 | Data:fcf1fcd1fcb9fca8
[2046985000] ID:34 | Data:fd59fd39fd21fd01
[2046995000] ID:35 | Data:fcf1fcf9fd29fd59
[2047005000] ID:36 | Data:fcd8fcf9fd18fd11
[2047015000] ID:37 | Data:fca8fca1fca0fca9
[2047025000] ID:38 | Data:fcbffcc7fcb7fca9
[2047035000] ID:39 | Data:fca0fca7fcb7fcbf
[2047045000] ID:40 | Data:fca0fc98fc98fc9f
[2047055000] ID:41 | Data:fcd0fcd0fcc0fcb1
[2047065000] ID:42 | Data:fce7fd17fd20fcf8
[2047075000] ID:43 | Data:fcb8fca0fc98fcc0
[2047085000] ID:44 | Data:fcf0fcdffd00fcf0
[2047095000] ID:45 | Data:fd48fd58fd20fcf0
[2047105000] ID:46 | Data:fda9fdc1fd89fd48
