[1229805000] ID:46 | Stg:6 | Loc:0 | Lic:0 | Data:000a003100000000ffa8ffed000000000000ff18000000c60000ff0c00aa0000
[1229815000] ID:47 | Stg:6 | Loc:0 | Lic:0 | Data:009d003400000000ffb7ffb5000000000000fef30000005700000000006e0000
[1229845000] ID:48 | Stg:6 | Loc:0 | Lic:0 | Data:000003fd00000000fd7300b8000000000000fb720000007b000000000025fe9f
[1229855000] ID:49 | Stg:6 | Loc:0 | Lic:0 | Data:0000037e00000000ff1efed400000000000000870000005900000145003bfeb8
[1229865000] ID:50 | Stg:6 | Loc:0 | Lic:0 | Data:0000ff010000000001320260000000000000016b000000460000fef80007ff58
[1229875000] ID:51 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000b9000000000000006a000000170000fcbafff20000
[1229885000] ID:52 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000002d0000ffff0000013d000000040000fe91002d0000
[1229895000] ID:53 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000007e0000000000000088000000000000ffc000240000
[1229905000] ID:54 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000009a00000000000000c1000000000000ff51002b0000
[1229915000] ID:55 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000008b0000000300000086000000000000ff1a00220000
[1229925000] ID:56 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000900000000200000097000000000000ff2100110000
[1229935000] ID:57 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000470000000700000025000000000000ff8d00180000
[1229945000] ID:58 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000079000000070000010e000000000000feef00220000
[1229955000] ID:59 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000ffde000000060000000e000000390000feb500320000
[1229965000] ID:60 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000370000000600000126000000520000fe8600170000
[1229975000] ID:61 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000cc00000004000000e30000001f0000fd66fffb0000
[1229985000] ID:62 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000021000000050000ffe7000000050000ff0200bf0000
[1229995000] ID:63 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000ffc1000000000000feec000000000000ffd8006a0000
[1230025000] ID:64 | Stg:6 | Loc:0 | Lic:0 | Data:0000031b00000000fe710073000000000000fc180000003f0000000000b8fe95
[1230035000] ID:65 | Stg:6 | Loc:0 | Lic:0 | Data:000002f900000000ff50ff3e00000000000000710000002d0000004a008ffeae
[1230045000] ID:66 | Stg:6 | Loc:0 | Lic:0 | Data:000000060000000000d9017800000000000001a50000001c0000ff60fffcff52
[1230055000] ID:67 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000008a0000ffff000000660000000e0000fec000120000
[1230065000] ID:68 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000130000ffff000001490000fffe0000ff1300830000
[1230075000] ID:69 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000180000fff900000065000000000000ff8500640000
[1230085000] ID:70 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000680000fff60000011c000000000000ff48004e0000
[1230095000] ID:71 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000001b0000ffed00000053000000000000fecc00510000
[1230105000] ID:72 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000390000ffe80000011b000000000000ff50004d0000
[1230115000] ID:73 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000170000ffe80000007e000000000000ff1600670000
[1230125000] ID:74 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000001b0000ffe800000031000000000000ffaa009c0000
[1230135000] ID:75 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000fffd0000ffec000000ca000000140000004300970000
[1230145000] ID:76 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000040000ffee0000ff4a0000002a0000ff9400610000
[1230155000] ID:77 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000007d0000fff800000074000000130000004d000e0000
[1230165000] ID:78 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000140000fffd000001010000fffd0000ff0500560000
[1230175000] ID:79 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000ffda000000000000fefb000000000000fd8d00350000
[1230205000] ID:80 | Stg:6 | Loc:0 | Lic:0 | Data:0000016f00000000febd000d000000000000fc0a0000000000000000007dff22
[1230215000] ID:81 | Stg:6 | Loc:0 | Lic:0 | Data:0000011500000000ff8fff36000000000000008a00000000000000960052ff25
[1230225000] ID:82 | Stg:6 | Loc:0 | Lic:0 | Data:0000ffb3000000000096016f000000000000012e000000000000ff78ffbaff96
